,3,5,10,50
grama,0.0,0.0,0.0,0.0
adgn,0.0,0.0,0.0,0.0
dgc,0.0,0.0,0.0,0.0
gat,0.0024622432714702,0.0004554453566875,0.0008483434676644,7.088194410414219e-08
gcn,0.0018720658577443,0.0007896913641397,0.0017729676212919,1.1894885325915745e-05
gin,0.0006738694072134,0.0028679138200762,0.0026287296429217,0.0001150675220598
gps,2.414949514683156e-06,4.432031258357929e-06,5.937102262869011e-06,0.0401599854823088
graphcon,0.0,0.0,0.0,0.0
phdgn_conservative,0.0,0.0,0.0,0.0
phdgn,0.0,0.0,0.0,0.0
sage,1.8445254189435607e-05,2.280098599129049e-05,5.518878363604774e-05,1.0395191195927083e-07
swan,0.0,0.0,0.0,0.0
