,3,5,10,50
grama,0.0,0.0,0.0,0.0
adgn,0.0,0.0,0.0,0.0
dgc,0.0,0.0,0.0,0.0
gat,7.3803111461609e-05,0.001426542600667,0.0005760125720314,0.0001536838790686
gcn,5.235153227648037e-05,0.0006011976495882,0.0001754771481589,4.266310431743056e-05
gin,2.2850258002001142e-06,0.0001253129469175,0.0007302258132666,8.475452675816187e-05
gps,1.323679901585143e-07,2.7863387864046787e-06,2.836822703853151e-05,0.0418082753987453
graphcon,0.0,0.0,0.0,0.0
phdgn_conservative,0.0,0.0,0.0,0.0
phdgn,0.0,0.0,0.0,0.0
sage,2.8587782896823253e-07,4.274564114438833e-05,0.0001569409344999,3.2912926032182737e-06
swan,0.0,0.0,0.0,0.0
