,model_hidden_channels,model_num_layers,model_activation,model_num_iters,model_epsilon,model_normalization,model_use_dissipation,model_use_forcing,model_fix_resistance,model_in_channels,model_out_channels,data_path,model,model_instance,ckpt_path,epochs,verbose,early_stopping,conf_id,seed,m,distance,debug,root,parallelism,batch,ncpus,ngpus,mean_train_loss,std_train_loss,mean_val_loss,std_val_loss,mean_test_loss,std_test_loss
452,64,1,tanh,50,0.05,rw,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id113_seed100.pt,2000,True,100,sonar_113,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,1.5974787750000001e-06,5.499029099615822e-07,1.6005993750000001e-06,6.17622913448459e-07,1.6005991849999999e-06,6.17623994741156e-07
354,64,1,tanh,50,0.1,rw,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id89_seed200.pt,2000,True,100,sonar_89,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,7.370207125e-06,1.0843889584535907e-06,7.31945705e-06,1.8699096624986235e-06,7.319460075e-06,1.8699152393590526e-06
1039,64,1,tanh,100,0.05,rw,False,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id260_seed100.pt,2000,True,100,sonar_260,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,1.710726725e-05,4.327482067327558e-06,1.6820258500000002e-05,3.7915116856687918e-06,1.6820256750000002e-05,3.791510689000658e-06
336,64,1,tanh,50,0.1,sym,False,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id84_seed200.pt,2000,True,100,sonar_84,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,1.9243703999999998e-05,6.291208150822755e-06,1.940711575e-05,6.4111214134275754e-06,1.940710475e-05,6.411122618137606e-06
372,64,1,tanh,50,0.1,rw,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id93_seed200.pt,2000,True,100,sonar_93,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,2.3738623e-05,1.4416592758554035e-05,2.347247325e-05,1.457322350009705e-05,2.3472480999999997e-05,1.457323054706281e-05
340,64,1,tanh,50,0.1,sym,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id85_seed100.pt,2000,True,100,sonar_85,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,2.6014636249999997e-05,9.517706191077077e-06,2.65015265e-05,1.0084780041192717e-05,2.6501523e-05,1.0084785341116391e-05
274,64,1,tanh,50,0.2,rw,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id69_seed100.pt,2000,True,100,sonar_69,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.000308031705,1.3148702948023692e-05,0.0006323055575,0.00011027989229417975,0.000632305635,0.00011027975218600301
420,64,1,tanh,50,0.05,sym,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id105_seed100.pt,2000,True,100,sonar_105,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.0006296701356249999,0.0012565380197064493,0.00087508252925,0.0017473438737649841,0.000875082529475,0.0017473438736150674
415,64,1,tanh,50,0.05,sym,True,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id104_seed100.pt,2000,True,100,sonar_104,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.00070920805775,0.0014154716059352976,0.0009339903456375,0.0018651864225852238,0.0009339903463925,0.001865186422081983
447,64,1,tanh,50,0.05,rw,True,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id112_seed100.pt,2000,True,100,sonar_112,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.000741237241025,0.0014803241313078137,0.0009474722905850001,0.001892793158927325,0.0009474722900625,0.0018927931592756175
