train_loss,val_loss,test_loss,model_hidden_channels,model_num_layers,model_activation,model_num_iters,model_epsilon,model_normalization,model_use_dissipation,model_use_forcing,model_fix_resistance,model_in_channels,model_out_channels,data_path,model,model_instance,ckpt_path,epochs,verbose,early_stopping,conf_id,seed,m,distance,debug,root,parallelism,batch,ncpus,ngpus
,,,64,1,tanh,50,1.0,,True,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id0_seed300.pt,2000,True,100,sonar_0,300,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id1_seed100.pt,2000,True,100,sonar_1,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
0.0355561,0.035485804,0.035485804,64,1,tanh,50,1.0,,True,False,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id2_seed100.pt,2000,True,100,sonar_2,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id1_seed200.pt,2000,True,100,sonar_1,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id1_seed400.pt,2000,True,100,sonar_1,400,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id1_seed300.pt,2000,True,100,sonar_1,300,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id0_seed200.pt,2000,True,100,sonar_0,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id0_seed400.pt,2000,True,100,sonar_0,400,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id0_seed100.pt,2000,True,100,sonar_0,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
0.035556234,0.035485715,0.035485715,64,1,tanh,50,1.0,,True,False,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id2_seed200.pt,2000,True,100,sonar_2,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,False,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id2_seed300.pt,2000,True,100,sonar_2,300,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
0.035557732,0.035485692,0.035485692,64,1,tanh,50,1.0,,True,False,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id2_seed400.pt,2000,True,100,sonar_2,400,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id3_seed300.pt,2000,True,100,sonar_3,300,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
0.0131418165,0.013114136,0.013114136,64,1,tanh,50,1.0,,False,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id4_seed100.pt,2000,True,100,sonar_4,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
0.2918862,0.25090045,0.25090054,64,1,tanh,50,1.0,,False,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id4_seed200.pt,2000,True,100,sonar_4,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
,,,64,1,tanh,50,1.0,,True,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id3_seed200.pt,2000,True,100,sonar_3,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
0.03555522,0.035485443,0.035485443,64,1,tanh,50,1.0,,True,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id3_seed400.pt,2000,True,100,sonar_3,400,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333
